run_id	__done	run_number	function	input_size	treatment	execution_time	cpu_usage	memory_usage	energy_usage	rep_idx	schedule_order
run_160	TODO	r10	MaxSubarray	10^5	Baseline					10	307
run_175	TODO	r10	MaxSubarray	10^5	Unroll-4					10	308
run_460	TODO	r10	BFS	1e4_nodes	Baseline					10	309
run_475	TODO	r10	BFS	1e4_nodes	Unroll-4					10	310
run_145	TODO	r10	MaxSubarray	10^4	Unroll-4					10	311
run_130	TODO	r10	MaxSubarray	10^4	Baseline					10	312
run_070	TODO	r10	Strassen	128x128	Baseline					10	313
run_085	TODO	r10	Strassen	128x128	Unroll-4					10	314
run_055	TODO	r10	Mergesort	10^5	Unroll-4					10	315
run_040	TODO	r10	Mergesort	10^5	Baseline					10	316
run_370	TODO	r10	StockSpan	10^5	Baseline					10	317
run_385	TODO	r10	StockSpan	10^5	Unroll-4					10	318
run_280	TODO	r10	Knapsack	500_items	Baseline					10	319
run_295	TODO	r10	Knapsack	500_items	Unroll-4					10	320
run_056	TODO	r11	Mergesort	10^5	Unroll-4					11	321
run_041	TODO	r11	Mergesort	10^5	Baseline					11	322
run_191	TODO	r11	FloydWarshall	100x100	Baseline					11	323
run_206	TODO	r11	FloydWarshall	100x100	Unroll-4					11	324
run_116	TODO	r11	Strassen	256x256	Unroll-4					11	325
run_101	TODO	r11	Strassen	256x256	Baseline					11	326
run_131	TODO	r11	MaxSubarray	10^4	Baseline					11	327
run_146	TODO	r11	MaxSubarray	10^4	Unroll-4					11	328
run_266	TODO	r11	Knapsack	100_items	Unroll-4					11	329
run_251	TODO	r11	Knapsack	100_items	Baseline					11	330
run_401	TODO	r11	EquilibriumIndex	10^5	Baseline					11	331
run_416	TODO	r11	EquilibriumIndex	10^5	Unroll-4					11	332
run_071	TODO	r11	Strassen	128x128	Baseline					11	333
run_086	TODO	r11	Strassen	128x128	Unroll-4					11	334
run_371	TODO	r11	StockSpan	10^5	Baseline					11	335
run_386	TODO	r11	StockSpan	10^5	Unroll-4					11	336
run_461	TODO	r11	BFS	1e4_nodes	Baseline					11	337
run_476	TODO	r11	BFS	1e4_nodes	Unroll-4					11	338
run_296	TODO	r11	Knapsack	500_items	Unroll-4					11	339
run_281	TODO	r11	Knapsack	500_items	Baseline					11	340
run_176	TODO	r11	MaxSubarray	10^5	Unroll-4					11	341
run_161	TODO	r11	MaxSubarray	10^5	Baseline					11	342
run_311	TODO	r11	PrefixSum	10^6	Baseline					11	343
