__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_8_repetition_6,DONE,dijkstra/original.py,cython,1.74,2.458,66.434,97.714,931,647,10924032,10924032
run_9_repetition_6,DONE,fannkuch/original.py,original,1.566,1.393,63.968,98.636,836,400,25337856,25198592
run_10_repetition_6,DONE,fannkuch/original.py,numba,1.42,1.414,66.925,100.0,855,419,25268224,25128960
run_11_repetition_6,DONE,fannkuch/original.py,cython,1.608,0.696,56.276,100.0,684,419,25587712,25518080
run_12_repetition_6,DONE,insertionsort/original.py,original,1.869,1.68,58.873,98.771,760,571,16629760,16629760
run_13_repetition_6,DONE,insertionsort/original.py,numba,1.866,1.565,60.524,97.188,760,590,16482304,16482304
run_14_repetition_6,DONE,insertionsort/original.py,cython,1.737,1.334,58.628,97.576,741,609,16797696,16797696
run_15_repetition_6,DONE,mandlebrot/original.py,original,28.538,28.089,95.918,99.804,7980,7639,395231232,401915904
run_16_repetition_6,DONE,mandlebrot/original.py,numba,27.798,27.57,95.936,99.809,7790,7440,387989504,393101312
run_17_repetition_6,DONE,mandlebrot/original.py,cython,20.085,20.899,94.583,99.74,5833,5454,369766400,378126336
run_18_repetition_6,DONE,nbody/original.py,original,4.762,4.351,77.131,99.609,1387,1369,10313728,10313728
run_19_repetition_6,DONE,nbody/original.py,numba,4.42,4.542,78.846,100.0,1501,1312,10186752,10186752
run_20_repetition_6,DONE,nbody/original.py,cython,5.093,5.223,79.337,100.0,1501,1331,10489856,10489856
run_21_repetition_6,DONE,recur_matrix_multiplication/original.py,original,3.343,3.691,74.89,99.081,1216,1067,9867264,10063872
run_22_repetition_6,DONE,recur_matrix_multiplication/original.py,numba,3.022,3.459,75.977,100.0,1330,1065,9965568,10162176
run_23_repetition_6,DONE,recur_matrix_multiplication/original.py,cython,1.252,1.784,59.167,100.0,760,495,38535168,38830080
run_24_repetition_6,DONE,richards/original.py,original,4.462,3.805,79.126,100.0,1520,1122,25657344,25657344
run_25_repetition_6,DONE,richards/original.py,numba,4.197,4.312,80.825,99.183,1577,1084,25792512,25792512
run_26_repetition_6,DONE,richards/original.py,cython,5.693,5.162,84.349,100.0,2128,1635,25665536,25399296
run_27_repetition_6,DONE,spectral_norm/original.py,original,10.154,10.375,89.058,100.0,2888,2566,78553088,78553088
run_28_repetition_6,DONE,spectral_norm/original.py,numba,10.664,10.212,89.589,99.669,2945,2566,78008320,78008320
run_29_repetition_6,DONE,spectral_norm/original.py,cython,9.013,8.428,86.738,99.532,2546,2300,79732736,79732736
run_0_repetition_7,DONE,binary_trees/original.py,original,3.366,3.917,86.619,100.0,2337,2015,449978368,479879168
run_1_repetition_7,DONE,binary_trees/original.py,numba,4.263,4.612,86.879,99.541,2394,2053,448471040,481898496
run_2_repetition_7,DONE,binary_trees/original.py,cython,3.077,2.441,78.674,99.014,1539,1331,446218240,483356672
run_3_repetition_7,DONE,dac_mergesort/original.py,original,2.417,2.078,63.485,100.0,855,628,30793728,30859264
run_4_repetition_7,DONE,dac_mergesort/original.py,numba,2.337,1.723,65.774,100.0,893,723,30810112,30679040
run_5_repetition_7,DONE,dac_mergesort/original.py,cython,1.499,1.319,60.66,96.825,836,552,31174656,31043584
run_6_repetition_7,DONE,dijkstra/original.py,original,2.544,2.618,66.222,98.007,950,799,10186752,10604544
run_7_repetition_7,DONE,dijkstra/original.py,numba,2.76,2.321,63.455,100.0,931,932,10358784,10579968
run_8_repetition_7,DONE,dijkstra/original.py,cython,2.388,2.122,62.857,97.802,836,723,10964992,10964992
run_9_repetition_7,DONE,fannkuch/original.py,original,1.919,1.457,59.988,98.095,760,381,25264128,25153536
